Year,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site20,Site21,Site22,Site23,Site24,Site25,Site26,Site27,Site28,Site29,Site30,Site31,Site32,Site33,Site34,Site35,Site36,Site37,Site38,Site39,Site40,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site48,Site49,Site50,Site51,Site52,Site53,Site54,Site55,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63,Site64,Site65,Site66,Site67,Site68,Site69,Site70,Site71,Site72,Site73,Site74,Site75,Site76,Site77,Site78,Site79,Site80,Site81,Site82,Site83,Site84,Site85,Site86,Site87,Site88,Site89,Site90,Site91,Site92,Site93,Site94,Site95,Site96,Site97,Site98,Site99,Site100,Site101,Site102,Site103,Site104,Site105,Site106,Site107,Site108,Site109,Site110,Site111,Site112,Site113,Site114,Site115,Site116,Site117,Site118,Site119,Site120,Site121,Site122,Site123,Site124,Site125,Site126,Site127,Site128,Site129,Site130,Site131,Site132,Site133,Site134,Site135,Site136,Site137,Site138,Site139,Site140,Site141,Site142,Site143,Site144,Site145,Site146,Site147,Site148,Site149,Site150,Site151,Site152,Site153,Site154,Site155,Site156,Site157,Site158,Site159,Site160,Site161,Site162,Site163,Site164,Site165,Site166,Site167,Site168,Site169,Site170,Site171,Site172,Site173,Site174,Site175,Site176,Site177,Site178,Site179,Site180,Site181,Site182,Site183,Site184,Site185,Site186,Site187,Site188,Site189,Site190,Site191,Site192,Site193,Site194,Site195,Site196,Site197,Site198,Site199,Site200,Site201,Site202,Site203,Site204,Site205,Site206,Site207,Site208
1999,44557,66402,153570,157754,286526,286526,56230,56398,3206,27540,28132,19260,27435,18736,18736,5824,13907,13907,7218,28785,5245,6575,6575,165826,504282,2714,7451,16968,19348,73269,98857,99459,109879,109953,7339,21797,22107,22600,22546,22140,22387,1686,6473,43318,50382,13805,0,13585,86361,86946,1901,4615,36207,90516,2932,56380,64910,62095,74695,83460,279098,279098,15447,345773,20055,20055,24138,366888,10504,376546,378136,24203,14137,14137,423095,423307,14207,7407,447163,1209787,10528,3667,23501,23501,28036,2642,7097,11104,1569,54405,69515,13889,3840,1854,12795,7313,36559,19828,16003,49693,130082,41528,41528,19864,43584,261604,283004,14179,24752,342096,33598,48551,25967,25967,28803,39889,466891,2047018,6946,28216,38176,804,84220,120317,41119,51399,34428,34428,54783,48895,52376,14521,16871,53785,32809,133629,14000,102304,130825,178199,178199,11142,11753,658404,2412,195911,234743,13875,38514,13504,13504,15916,30645,7752,14716,1005413,3127283,37660,39685,43693,52859,1678,23416,76275,1663,3863,1426,29679,11198,65866,4660,26914,26914,19782,3765,1527,5190,10553,3479,14032,3426680,7215,12707,8514,25357,3498374,4916,16755,43087,64694,2080,39997,39997,11719,10239,23920,12693,12693,3007,6942,1954,9305,213825,6431,6659,1692892,5384788,5341061
2000,42098,62741,144749,148684,269830,269830,52820,52981,3066,26331,26895,16579,23617,21149,21149,6730,16862,16862,8749,34876,5921,6831,6831,168748,487325,1779,6920,14815,16788,72811,104549,105297,115032,115100,6509,19332,19608,20856,20720,22569,22821,1531,6550,45173,49720,12552,26,12351,80179,80556,1476,3584,28111,70278,2159,41503,48249,55182,66382,74170,224498,224498,11372,287708,17669,17669,21801,306450,9065,314655,316266,20887,12742,12742,365207,365698,12804,6677,390847,1142009,8457,2945,18878,18878,21957,2439,6547,10246,1765,36950,47213,11157,4143,1491,12176,6958,34791,18296,14766,45854,120382,36180,36180,22167,43672,242312,261713,12856,22441,315096,30629,44185,23577,23577,26149,36199,428441,1833324,7493,26337,33817,795,68773,98247,28775,35968,25959,25959,46132,38373,41824,11397,16720,42209,25747,104872,13592,99328,127019,156817,156817,5758,6073,560236,2387,157587,196072,8941,33358,9147,9147,11534,26132,4763,11664,855594,2742074,33362,35155,37311,49801,1582,22061,71862,1017,2283,632,18163,5637,39094,2850,25868,25868,19011,2343,1141,5829,6650,2193,8843,2974681,4161,7328,5417,15376,3044665,3094,10541,27108,40702,1530,29439,29439,8628,7536,17604,10947,10947,2416,5579,1570,7479,157679,5168,6659,1466283,4597509,4488893
2001,32786,48864,109668,112584,202409,202409,32838,32937,3261,28002,28603,17743,25278,18752,18752,6292,12514,12514,6494,27852,5250,5514,5514,144288,376983,1412,6823,9421,10070,60163,85048,85633,92843,92893,4799,14254,14456,16197,16003,14755,14918,1418,5306,35225,36034,11619,192,11432,60260,60326,1562,3800,29798,74496,2345,45134,49081,51119,61495,68709,210892,210892,12368,270312,15990,15990,19742,287275,8596,295091,296553,19805,11071,11071,343248,343754,11125,5801,368581,958708,7257,2525,16196,16196,18921,2106,5658,8855,1882,32714,41799,9570,3517,1087,9248,5284,26421,16044,12946,40209,102032,32234,32234,18114,37273,209026,226309,11453,19992,273627,28407,40484,22757,22757,25048,34004,377479,1567726,6358,22179,28395,592,63963,91378,21465,26830,24627,24627,39626,38958,41523,11569,12432,42854,26141,106472,11038,80669,103157,132611,132611,5876,6199,481547,1776,158717,187332,6378,24533,8180,8180,9956,20810,3624,8756,743896,2358349,28012,29518,36233,45370,1440,20100,65470,709,1930,1070,12638,4271,27551,1984,25645,25645,18850,2315,1976,4834,8676,2861,11537,2663450,5399,9504,6639,19369,2722712,3071,10465,26906,40400,945,18171,18171,5323,4652,10866,10420,10420,2261,5218,1469,6997,129217,4833,6659,1170604,3956183,3854249
2002,19113,28485,64365,66085,119092,119092,15053,15098,1673,14350,14660,11944,17016,9411,9411,6720,6666,6666,3459,16221,2637,3427,3427,79459,212721,615,3478,3927,4040,28029,40872,41174,48185,48235,3371,10011,10154,10203,10198,8574,8670,952,3171,20246,20972,7811,174,7685,37525,37586,645,1569,12305,30763,966,18562,22560,26048,31336,35011,107189,107189,5085,145135,9226,9226,11846,155042,5573,160069,161088,12834,6297,6297,184998,185153,6328,3300,195003,517041,4557,1586,10172,10172,11239,1519,4079,6383,762,13272,16956,6011,1804,533,4324,2470,12352,8581,6926,21507,54151,18321,18321,9894,20874,114829,124736,6566,11459,151764,18579,25502,16842,16842,18156,23287,217383,836877,3261,13575,18509,495,35190,50274,10493,13116,16657,16657,29222,24517,26666,7282,10416,26969,16452,67004,5880,42961,54937,72649,72649,6009,6338,308157,1487,95904,119879,4645,19855,5576,5576,7063,16156,2111,6411,487979,1377248,18259,19240,22046,44037,1397,19508,63545,334,1435,642,5981,2122,13140,937,23757,23757,17462,1218,1081,2797,3632,1197,4829,1572865,2150,3786,3063,8335,1610218,1680,5724,14716,22096,540,10349,10349,3033,2648,6189,8352,8352,1846,4266,1201,5719,76240,3951,6659,805098,2429591,2334556
2003,43281,64503,193548,199738,390372,390372,51625,51781,3616,31056,31722,21029,29956,28289,28289,3672,21902,21902,11367,40315,7921,7922,7922,157078,598511,1729,9317,20757,23617,99833,130300,131017,148255,148376,6441,19127,19400,19864,19811,23574,23837,1684,6681,45147,51962,13803,708,13581,88342,88906,1732,4200,32941,82353,2918,56116,58413,61494,73974,82652,234241,234241,15378,311738,21557,21557,26509,334581,9572,343125,345054,22054,13405,13405,404053,404807,13472,7025,427410,1321103,8982,3128,20051,20051,22772,2246,6027,9430,1894,32646,41714,11848,4721,1061,10850,6200,30999,18370,14825,46038,116587,38213,38213,25698,47102,243776,263086,12795,22335,315795,31734,45228,24468,24468,27027,37032,430855,1993383,8539,26173,31649,652,66716,95309,22156,27696,26202,26202,42704,41971,44793,12465,13680,46169,28162,114707,12617,92191,117893,159042,159042,6598,6960,533135,1954,179141,210625,7508,27485,9461,9461,11415,23356,4356,10001,827617,2873164,31222,32900,36383,52995,1683,23477,76472,863,2114,861,15397,5650,34011,2418,25444,25444,18702,2717,1112,5497,9352,3084,12436,3133968,5841,10282,6094,19338,3198071,3514,11975,30790,46234,1133,21818,21818,6394,5586,13047,10125,10125,2398,5537,1559,7423,135648,5130,6659,860271,4207280,4209248
2004,29668,44213,102673,105478,191841,191841,28407,28493,2714,23314,23814,16090,22923,16618,16618,8553,11612,11612,6028,22152,4654,4699,4699,124002,342294,1327,5221,8611,9459,49331,70476,70973,82013,82091,4216,12522,12700,12131,12195,11063,11187,1175,4590,30870,30400,9631,440,9477,49375,49336,854,2074,16265,40664,1415,27213,30723,32337,38899,43462,131387,131387,7458,183215,13559,13559,17095,197693,7564,204522,205901,17434,9649,9649,246164,246584,9698,5056,258757,753959,6765,2354,15096,15096,17420,1982,5323,8331,1418,27893,35638,8923,3205,938,6691,3823,19117,12988,10482,32554,81561,29209,29209,15063,31237,173662,188254,9671,16880,228227,24277,34475,19771,19771,21705,29266,316762,1271760,5795,21341,27900,594,52684,75264,16585,20731,23423,23423,38442,36026,38594,10699,12450,39629,24172,98458,8464,61869,79114,108792,108792,6711,7081,428720,1778,159582,188236,7304,25484,7636,7636,9414,20283,3756,8894,692566,2032112,27523,29002,30975,40178,1278,17801,57979,738,1930,1141,13218,4749,29097,2075,24958,24958,18346,2353,594,3762,9410,3103,12513,2235594,5690,10017,5741,18547,2284373,3284,11199,28794,43233,1065,20504,20504,6007,5250,12262,10631,10631,2237,5162,1453,6922,139281,4782,6659,884382,3330944,3345959
2005,47080,70163,153131,157113,279676,279676,71092,71307,3249,27901,28498,19958,28430,23442,23442,5234,22086,22086,11464,42922,6564,6664,6664,187626,534064,2503,7086,16260,18555,81562,120045,120951,130335,130402,8405,24967,25320,25504,25487,23445,23706,1492,5786,38834,45443,12219,573,12023,78292,78839,1236,3001,23539,58851,1871,35961,39305,44765,53853,60170,174095,174095,9851,245465,18393,18393,23297,265131,9706,273820,275730,22365,13735,13735,330472,331068,13803,7196,352912,1158751,11069,3854,24709,24709,28680,2517,6756,10572,2212,47643,60877,14604,4932,1851,8645,4942,24706,16692,13469,41837,109308,42009,42009,20484,43625,240223,261104,13836,24150,318800,30932,45521,21526,21526,24292,35112,434902,1930294,8919,28310,34804,880,67852,96931,24605,30755,28751,28751,51036,54062,57875,16056,18473,59469,36276,147752,11279,82432,105411,153205,153205,8786,9267,607286,2638,257247,299763,12914,39890,10974,10974,13612,29739,8279,15902,1023660,3009864,34336,36179,49914,64616,2052,28623,93239,1596,4240,380,28499,10506,63001,4473,26820,26820,19712,3325,4040,4826,19068,6288,25356,3522922,11162,19651,9587,33896,3598312,7411,25257,64947,97517,2489,47859,47859,14021,12251,28620,13334,13334,3079,7107,2000,9527,299306,6584,6659,1834258,5753078,5763498
2006,36751,54770,125964,129379,234552,234552,41472,41598,3711,31863,32545,20387,29042,25901,25901,8746,15510,15510,8051,27864,7251,5862,5862,196333,466625,2354,7917,14659,16345,80629,122350,123332,135884,135975,5859,17405,17651,19028,18874,22039,22283,1899,7153,47596,52240,15548,484,15299,89222,89605,1785,4333,33989,84975,2541,48883,54331,59686,71799,80222,245213,245213,13396,316666,18720,18720,23347,336588,10141,345768,347571,23366,13875,13875,406088,406768,13945,7268,434226,1193822,9497,3306,21200,21200,25484,3075,8260,12925,2297,51412,65691,12528,4769,1750,11402,6515,32576,21498,17348,53874,134984,39471,39471,25590,51857,277701,301396,15702,27408,366528,33700,50258,25721,25721,28861,41138,498178,2044140,8621,29478,37433,945,75175,107391,34135,42669,28653,28653,52599,44698,48793,13275,19849,49168,29992,122161,10629,77681,99338,154551,154551,6573,6934,619817,2834,211576,257262,12798,41783,11737,11737,14571,31901,7384,15577,999738,3076445,36929,38913,46399,55148,1750,24431,79579,1458,2620,1005,26065,9423,57434,4092,26566,26566,19526,3139,2310,5797,10917,3602,14519,3441390,7251,12765,8245,25014,3522551,4025,13715,35267,52955,2239,43036,43036,12607,11016,25735,11738,11738,2727,6300,1773,8446,206547,5836,6659,1423925,5125458,5073000
2007,32838,48939,115916,119129,218070,218070,45825,45962,3647,31316,31988,20298,28915,20747,20747,7536,13207,13207,6855,26465,5809,5881,5881,172175,431763,2080,7002,15091,17113,75374,113479,114376,128493,128590,6129,18208,18466,19571,19449,21067,21300,1627,6245,41782,47455,13339,570,13124,81390,81859,1882,4574,35873,89682,2580,49631,55435,56797,68325,76341,248822,248822,13600,319014,17939,17939,22451,338123,9292,346479,348235,21410,12372,12372,404517,405238,12434,6483,429176,1134837,8910,3104,19889,19889,22648,2553,6852,10724,1328,33096,42291,11752,3869,1735,11421,6527,32632,16337,13183,40942,118478,34058,34058,18594,42895,242974,264895,14528,25357,325266,31845,47165,25883,25883,28790,40146,449822,1828108,6995,27613,37006,845,79770,113954,35555,44443,29155,29155,50584,42858,46524,12730,17764,47144,28758,117131,12347,90239,115396,162434,162434,5684,5996,612672,2537,199665,240551,10059,36000,11466,11466,14003,29512,6039,13371,961992,2837328,36502,38466,40177,49786,1580,22055,71841,1231,2435,892,21994,7447,47958,3453,26670,26670,19601,2574,841,5730,10532,3475,14007,3075371,7109,12513,8128,24590,3147675,3635,12386,31850,47820,1808,34758,34758,10185,8899,20785,10605,10605,2652,6125,1723,8212,171409,5675,6659,1617367,4885733,4803170
2008,47147,70262,159544,163830,295724,295724,80244,80485,3385,29078,29703,26340,37522,32133,32133,6847,17044,17044,8847,31911,8997,6567,6567,247329,614258,3781,8134,17401,19718,97558,171736,173482,179309,179351,9312,27653,28045,31528,31143,33536,33908,1851,8690,61338,68398,15164,1202,14921,108210,108792,1693,4113,32255,80635,2503,48176,56610,66112,79531,88862,265878,265878,13201,353724,22360,22360,28309,377628,11339,387731,390049,26126,16831,16831,479362,480845,16915,8821,522389,1548562,14295,4980,31908,31908,37037,2968,7970,12473,1533,61555,78651,18857,5905,2251,16213,9264,46324,24427,19712,61217,169327,49856,49856,25821,59260,343863,374029,19990,34889,456968,36609,57689,26286,26286,30284,45912,611816,2592302,10680,38759,50395,1146,99137,141623,40954,51191,39287,39287,68334,60129,65097,17858,24078,66143,40345,164332,18417,134605,172128,236492,236492,11219,11835,832958,3439,278509,333924,16365,51526,16817,16817,20256,41277,10272,20209,1320407,3886188,49714,52386,64036,81567,2589,36135,117702,1885,5607,631,33631,14044,75994,5280,27731,27731,20382,4651,3555,6225,20106,6629,26735,4411543,12957,22810,11263,39548,4500963,7043,24003,61721,92675,2599,49985,49985,14647,12795,29891,13233,13233,3116,7201,2026,9651,265063,6669,6659,2545363,7338192,7355841
2009,49261,73416,164218,168574,302713,302713,72614,72833,3556,30540,31197,24318,34642,29635,29635,7559,16913,16913,8779,33093,8299,6842,6842,225629,593806,2615,8066,18010,20497,99894,140788,141751,156283,156385,8092,24034,24374,26345,26126,30106,30441,1931,7941,54191,62665,15824,736,15573,105099,105801,1681,4083,32031,80075,2499,48066,58509,63534,76427,85394,273219,273219,13171,367933,21672,21672,28171,391293,11233,401178,403710,25885,15806,15806,482267,483447,15885,8282,516554,1465617,11689,4070,26092,26092,30757,2981,8005,12528,2259,55973,71520,15421,4921,3476,13426,7671,38359,20257,16347,50769,148448,44379,44379,23063,55165,310802,339765,19190,33498,420704,36900,57139,27107,27107,30946,45950,572994,2426550,8901,33171,43559,1121,86083,122975,33911,42390,32980,32980,61357,48689,53543,14459,23523,53558,32669,133068,15273,111623,142741,209797,209797,8357,8814,738652,3360,238183,292323,13202,47553,12475,12475,15835,36371,8096,17804,1172285,3683508,42970,45279,52612,60371,1916,26744,87115,1561,4036,1382,27891,10677,62053,4379,27022,27022,19861,3877,2156,6715,9007,2970,11977,4062577,5685,10009,6773,20074,4155984,5008,17060,43866,65868,1951,37521,37521,10994,9607,22438,12119,12119,2872,6631,1868,8890,208418,6143,6659,1880018,6193913,6111011
2010,43274,64492,140461,144105,256334,256334,60804,60986,3259,27988,28589,20332,28963,23002,23002,7047,18939,18939,9828,36848,6440,6119,6119,186749,499140,1991,7653,13979,15559,76867,110417,111206,120432,120497,7703,22877,23202,25908,25609,22679,22932,1388,5984,41360,49199,11363,803,11181,82075,82723,1487,3609,28308,70767,2204,42370,46378,48758,58652,65534,201574,201574,11609,276923,17475,17475,22556,295718,9292,303953,305934,21412,12505,12505,349873,350193,12568,6554,381590,1177613,10406,3623,23229,23229,26382,2533,6800,10643,2061,37847,48357,13728,5070,1906,9866,5639,28184,16677,13459,41798,117836,36265,36265,20181,46077,250846,274210,15483,27023,338607,31793,48119,22837,22837,25932,38036,464452,1921080,9168,29617,36702,821,73588,105127,26373,32966,28622,28622,49429,46246,49803,13735,17247,50872,31031,126391,12322,90054,115158,166730,166730,7276,7677,600819,2464,208843,248541,10928,36116,12292,12292,14756,29812,6383,13500,957806,3004117,36206,38152,39385,65273,2071,28918,94191,1228,3072,872,21928,7602,47993,3443,26154,26154,19224,3089,803,5146,13237,4366,17603,3258053,8528,15016,8797,28087,3323641,3851,13125,33750,50677,1651,31752,31752,9302,8127,18989,11143,11143,2500,5775,1626,7741,170179,5349,6659,1434269,4815079,4651369
2011,98277,146463,290553,297465,510327,510327,141032,141457,4756,40845,41721,27570,39274,42110,42110,6551,28150,28150,14611,51399,11791,8832,8832,352646,989470,3956,10866,26388,30270,127572,211456,213431,209970,209947,14913,44294,44922,52929,52037,46154,46666,2124,9967,70327,86407,17411,1958,17133,142461,143791,2543,6174,48421,121053,3887,74743,82190,85902,103335,115460,353812,353812,20480,481720,29347,29347,37909,513289,13710,525222,528557,31590,24823,24823,616785,617802,24947,13007,692080,2257679,18912,6584,42211,42211,48115,3449,9263,14494,3386,70860,90542,24947,9807,2452,17571,10040,50200,27650,22315,69300,193798,62375,62375,32484,72694,407538,443812,24037,41956,543289,45845,71193,30073,30073,34881,53674,729782,3501466,17737,46229,51132,933,96419,137740,39073,48840,40599,40599,64266,70018,74067,20795,19620,77020,46983,191360,20639,150848,192901,265527,265527,18712,19737,847177,2803,329819,374971,19730,48379,16361,16361,19164,36291,10636,18733,1358557,4953676,50443,53154,63334,121164,3847,53675,174839,2165,7145,683,38681,17871,89122,6072,27153,27153,19959,5549,3077,6636,34175,11273,45448,5533960,23091,40653,16020,64455,5637121,7636,26024,66920,100480,2754,52956,52956,15515,13556,31669,12683,12683,3156,7286,2050,9766,265401,6749,6659,2213526,8093966,8047496
2012,23515,35047,84239,86599,159270,159270,31579,31674,2309,19823,20248,14233,20274,11596,11596,11071,8574,8574,4451,18022,3249,4212,4212,104018,293443,1295,4237,5583,5918,38711,57787,58236,63415,63452,3927,11664,11830,11680,11697,10719,10839,1066,4871,34161,35537,8737,460,8598,55010,55123,896,2178,17079,42699,1091,20985,25129,26869,32323,36116,123485,123485,5749,176680,10988,10988,14769,188649,6088,193951,195425,14027,8468,8468,231748,232189,8512,4436,244456,682267,6529,2272,14572,14572,17517,2167,5821,9109,1510,35334,45150,8610,2423,1614,4723,2699,13493,9615,7758,24094,61393,22123,22123,10996,23880,132599,144223,7703,13443,176923,22029,30151,18027,18027,19568,25589,252408,1176009,4381,15979,20815,578,35611,50872,12940,16177,17549,17549,32212,26602,29109,7900,12155,29262,17850,72704,7218,52756,67463,96599,96599,7017,7400,358082,1738,116241,144215,6953,24701,6574,6574,8312,18920,3038,8055,574427,1847624,20536,21638,22666,40695,1292,18029,58724,471,1592,806,8435,4265,19803,1324,24826,24826,18246,1280,510,3209,6419,2116,8535,2014712,4310,7587,5425,15648,2066225,2371,8079,20770,31186,1151,22127,22127,6484,5663,13232,9267,9267,2254,5206,1465,6980,109621,4823,6659,994129,3113452,3024404
2013,37269,55542,133627,137375,252730,252730,55535,55702,3006,25810,26363,16950,24145,19450,19450,4066,13929,13929,7230,27919,5447,5473,5473,163916,467287,1126,5832,13816,15814,66427,100425,101225,113267,113351,6653,19761,20041,21870,21666,22748,23003,1525,5639,37288,45424,12502,551,12304,80676,81348,1404,3407,26730,66827,1893,36416,42422,42594,51241,57251,194819,194819,9978,257162,16405,16405,20577,274653,8346,282130,283756,19229,11835,11835,331961,332510,11892,6201,358901,1097280,7333,2554,16374,16374,19342,2359,6331,9908,1383,35634,45534,9676,2597,1244,7753,4430,22146,14938,12055,37437,89896,30844,30844,16316,32720,185556,200357,9806,17118,241184,28185,38528,21551,21551,23512,31180,336033,1681108,4695,17883,23666,504,54911,78445,19897,24873,22135,22135,34866,34788,36966,10331,10555,38267,23344,95076,10748,78562,100463,130941,130941,7142,7534,437500,1507,142115,166408,5201,20611,7763,7763,9270,18483,2967,7322,668082,2476000,23347,24601,22430,37576,1194,16646,54222,569,1544,787,10139,3469,22145,1592,25079,25079,18432,2128,89,4303,4274,1410,5684,2580116,2538,4472,4519,11186,2635407,2935,9999,25717,38614,813,15669,15669,4591,4012,9369,9744,9744,2199,5075,1428,6806,114148,4702,6659,797959,3562144,3566420
